id,SalePrice
1461,120129.31638285158
1462,153008.7854064986
1463,181999.66786591822
1464,195952.28499780287
1465,197477.8125872035
1466,171222.84373663223
1467,178212.01779580885
1468,161123.61215957563
1469,193898.47881496898
1470,119925.60478980588
1471,189952.6784780828
1472,97385.92416901965
1473,96173.51867350194
1474,146413.76269308914
1475,113408.51351352438
1476,363558.8497525456
1477,250762.12819425573
1478,294599.1815289544
1479,299293.44565708254
1480,474977.5880362876
1481,325368.59760204714
1482,210850.56526419794
1483,177057.72071004286
1484,162710.8451215373
1485,191473.76554705846
1486,193107.9617774654
1487,339866.0295461026
1488,238341.3353204839
1489,193749.60820502572
1490,231349.0659469988
1491,195044.07028414906
1492,92756.67611514167
1493,189749.588439213
1494,299951.3792833911
1495,293285.5911212206
1496,235702.1576615435
1497,179388.32508260943
1498,167787.27829460712
1499,162374.42494970988
1500,152697.7749543966
1501,174507.69277533883
1502,145503.6506212224
1503,290290.2230337347
1504,242519.0337992157
1505,225593.9751779169
1506,188193.22519878772
1507,245834.55147804398
1508,202873.92776776533
1509,163898.0977788802
1510,143480.39546743763
1511,148092.6730057099
1512,175334.35530234524
1513,152363.35065623088
1514,155109.81990672962
1515,197374.40600365406
1516,157898.11081760877
1517,168347.74792537428
1518,132466.496844432
1519,209170.4308041955
1520,127540.30850578842
1521,130083.47515553536
1522,178496.13977394527
1523,110130.5115913345
1524,125686.4470163875
1525,120266.19747097132
1526,113488.37444080865
1527,107566.17450085792
1528,137378.3893469948
1529,149722.5649900274
1530,184338.36270192487
1531,105988.75185360062
1532,98505.57943429326
1533,142816.38267748768
1534,127215.27170736801
1535,147673.90202250815
1536,106379.11563719086
1537,64977.58596862494
1538,147236.9720549623
1539,191933.55837510552
1540,94263.45850341654
1541,138707.1051419694
1542,139649.24986487327
1543,189700.53751999192
1544,85068.008481338
1545,115257.94054333334
1546,135137.91282301547
1547,127884.20576731034
1548,138708.2435573102
1549,119838.49286651284
1550,135618.02321826073
1551,108884.99981547246
1552,136390.98109602102
1553,148289.80774366995
1554,116891.82272110358
1555,160376.90131114126
1556,85485.17170699128
1557,105780.72011395861
1558,97580.45125685347
1559,63552.76802692346
1560,134335.23100407387
1561,129372.72588983353
1562,130057.34828423696
1563,117918.55506134802
1564,155071.55198099796
1565,150955.3407950722
1566,237772.53074719827
1567,76404.07502957858
1568,230818.44131562498
1569,127780.26853477283
1570,139167.54640386638
1571,123248.06659908082
1572,142090.06900251648
1573,236848.71671764084
1574,118411.16056848996
1575,228294.7333937121
1576,241692.83937702083
1577,182201.7635543572
1578,148720.333350499
1579,144283.6746041202
1580,196843.92801768094
1581,153037.51734319574
1582,125687.59815299742
1583,295888.95713129715
1584,216154.1458681093
1585,136126.5245419615
1586,67143.7331393885
1587,104989.71874882642
1588,151179.16829745087
1589,96656.216489768
1590,133891.40280903337
1591,92120.86640430184
1592,114189.88906279957
1593,127669.24235410168
1594,123646.9654616617
1595,107500.49085079714
1596,222575.4363111559
1597,193546.93965914947
1598,227982.70331666252
1599,172656.03043455433
1600,162810.3634734945
1601,68670.57817887756
1602,117135.40853671772
1603,71358.15862846222
1604,260213.98917750374
1605,243774.23195768538
1606,168701.8701135877
1607,173316.5115734689
1608,214614.04136398603
1609,185339.24789518586
1610,150446.69880184578
1611,138184.7248064833
1612,170111.59149848693
1613,161412.0306866152
1614,128011.21692279405
1615,93618.25419454864
1616,77864.51966472293
1617,95346.84781026703
1618,124769.08143316244
1619,140093.27093942044
1620,152267.550721141
1621,138619.2405802834
1622,141655.71194439236
1623,261268.10001323334
1624,209360.63951990515
1625,120859.60722550002
1626,170452.59591000917
1627,190582.20893444977
1628,280021.0948513829
1629,184313.18863868673
1630,345037.4836673678
1631,230402.01030487745
1632,244459.26090129744
1633,174440.99603746418
1634,185156.2667620114
1635,176706.7483973534
1636,152578.34298140154
1637,199100.65915828626
1638,181426.71434846788
1639,190515.9001653976
1640,250882.9260563159
1641,183790.8824575022
1642,237825.8106050946
1643,216168.74043171617
1644,232651.6892808583
1645,196243.44301482593
1646,158437.26408653505
1647,162485.12081302577
1648,130092.84903816262
1649,138945.26242839944
1650,114357.95753029795
1651,120810.88854121072
1652,97580.96776035998
1653,99581.91815297677
1654,145872.1130276923
1655,138767.47796651197
1656,140735.7376032335
1657,147519.48764329636
1658,142980.17175416247
1659,119989.18953571926
1660,155445.67532750237
